uid,namedLocation,domainID,siteID,plotID,nrcsDescriptionID,collectDate,horizonID,horizonName,analysisStartDate,biogeoIDnrcs,biogeoSampleType,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,airDryOvenDryRatio,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,phCacl2,phH2o,ec12pre,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,carbonTot,nitrogenTot,ctonRatio,estimatedOC,sulfurTot,alOxalate,feOxalate,mnOxalate,pOxalate,siOxalate,optDensityOxalate,alCitDithionate,feCitDithionate,mnCitDithionate,siliconCitrateDithionate,acidity,waterRetention15Bar,MehlichIIITotP,Bray1PExtractable,OlsenPExtractable,processingRemarks,laboratoryName,dataQF,publicationDate
b19b4d42-b5e0-47e8-b537-80acfeecea32,NOGP_017.basePlot.all,D09,NOGP,NOGP_017,S2016ND059016,2016-05-04,16N04099,A,2016-10-29,S2016ND059016-1,bulk,0,22,11,1.06,,,33.4,1.5,6.6,0,42.5,,41.5,98,,,,,6.9,7.4,0.28,,0,3.9,1.4,0,0.7,0,82,3,0.5,1.2,0,1.2,0,0,6.9,,0.5,38.7,3.6,11,39,0.5,0.13,0.3,304.8,417.4,0.07,0.07,0.1,1.4,0,0.2,7.3,26,,,2.9,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
00a615ea-1553-41f1-8356-407b783c7c35,NOGP_024.basePlot.all,D09,NOGP,NOGP_024,S2016ND059023,2016-05-04,16N04121,Ap,2016-10-29,S2016ND059023-1,bulk,0,13,6.5,1.033,,,15,1.1,8.1,0,25,,24.2,97,,,,,5.7,6.2,0.27,,,5.1,0.7,0,1.1,0,69,0.9,0.6,4.3,0,1.5,5.4,0,5.8,,0.6,30.3,2.8,11,30,0.3,0.12,0.12,291.1,234.9,0.03,0.05,0.1,0.8,0,0.1,9.6,14.6,,,2.6,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
5aecc37c-4407-4380-abee-c90b10de20ae,NOGP_030.basePlot.all,D09,NOGP,NOGP_030,S2016ND059029,2016-05-04,16N04145,Bw,2016-10-30,S2016ND059029-2,bulk,20,37,28.5,1.045,,,20.9,0.5,7.1,0,27.2,,28.5,100,,,,,6.9,7.6,0.17,,,,,,,,,,,,,,,,,,,14.8,1.3,12,15,0.2,0.16,0.07,70.4,153.6,0.03,0.05,0.1,0.4,0,0.1,3.3,15.5,,,1.5,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
e7f360da-42b8-4305-b65e-be8c56992777,NOGP_023.basePlot.all,D09,NOGP,NOGP_023,S2016ND059022,2016-05-04,16N04118,Bk,2016-10-29,S2016ND059022-2,bulk,12,28,20,1.045,,120,60.3,0.5,12.1,0,24.9,,72.9,100,,,,,7.7,8.3,0.27,,,2.9,0.2,0,0.52,0,76.5,3.3,0.2,1.6,0,0.9,0,,7.9,,0.3,29.7,1.7,9,16,0.2,0.11,0.13,43.9,292.7,0.04,0.06,0.1,0.5,0,0.1,,17.3,,,1.9,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
5c8b7234-cc04-4e25-8458-296107bbd46c,NOGP_017.basePlot.all,D09,NOGP,NOGP_017,S2016ND059016,2016-05-04,16N04100,Bw,2016-10-29,S2016ND059016-2,bulk,22,36,29,1.063,,10,41,0.7,7.2,0,37.8,,48.9,100,,,,,7.4,8,0.27,,0,2.7,0.7,0,0.44,0,79.8,2.5,0,0.7,0,0.2,0,0,7.4,,0.3,19.7,1.8,10,19,0.2,0.14,0.41,144,431.9,0.07,0.05,0.1,1.5,0,0.2,,22.3,,,1.4,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
096fb283-cdb2-4a7c-842d-36d59c5e1a95,NOGP_024.basePlot.all,D09,NOGP,NOGP_024,S2016ND059023,2016-05-04,16N04126,2BCky,2016-10-30,S2016ND059023-6,bulk,87,99,93,1.053,,80,48,0.6,31.2,1.7,28.2,,81.5,100,,,,,8.3,8.8,0.91,,,1.9,0.2,0,0.8,0.1,84.1,3.7,0,3.3,3.6,0.1,0,,8.5,,4,15.2,0.7,7,5,0.3,0.07,0.16,47.4,375.9,0.05,0.02,0,0.8,0,0.2,,19.6,,,3.7,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
cb7a3094-fbcd-4058-bc11-46af79fa185f,NOGP_024.basePlot.all,D09,NOGP,NOGP_024,S2016ND059023,2016-05-04,16N04124,2Btnk,2016-10-30,S2016ND059023-4,bulk,50,75,62.5,1.052,,70,53,0.6,24.4,0.1,28.9,,78.1,100,,,,,7.9,8.5,0.26,,,2,0.4,0,0.42,0,77.5,3.4,0,2,0,0,0,,8.1,,0.3,15,0.9,8,7,0.1,0.11,0.13,77.1,396,0.05,0.02,0.1,0.8,0,0.1,,18.8,,,14.1,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
e8173851-63f2-4150-96cb-4002b753a510,NOGP_030.basePlot.all,D09,NOGP,NOGP_030,S2016ND059029,2016-05-04,16N04146,Bk,2016-10-30,S2016ND059029-3,bulk,37,74,55.5,1.04,,90,49.1,0.5,19.3,0.3,21.9,,69.2,100,,,,,7.9,8.5,0.2,,,,,,,,,,,,,,,,,,,14.8,0.6,6,4,0,0.07,0.08,26.4,167.3,0.03,0.02,0,0.3,0,0.1,,14.3,,,0.5,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
0b676541-0b32-412b-a0eb-c537f31629ba,NOGP_017.basePlot.all,D09,NOGP,NOGP_017,S2016ND059016,2016-05-04,16N04101,Bk,2016-10-29,S2016ND059016-3,bulk,36,67,51.5,1.058,,50,66.3,0.6,7,0,31.2,,73.9,100,,,,,7.8,8.5,0.2,,,,,,,,,,,,,,,,,,,15.8,1.1,10,10,0.1,0.11,0.38,83.6,435.2,0.06,0.04,0.1,1.3,0,0.1,,22.7,,,0.8,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
d4c611f5-9281-4a15-b91b-d75467803ae2,NOGP_017.basePlot.all,D09,NOGP,NOGP_017,S2016ND059016,2016-05-04,16N04102,Cr,2016-10-29,S2016ND059016-4,bulk,67,200,133.5,1.061,,40,65.8,0.7,6.2,0,31.3,,72.7,100,,,,,7.8,8.5,0.2,,,,,,,,,,,,,,,,,,,12.5,0.7,11,8,0.1,0.09,0.63,194.3,442.9,0.08,0.05,0.1,1.3,0,0.2,,13.5,,,1,,USDA NRCS Kellogg Soil Survey Laboratory,,20191202T165740Z
